Bin,Density,Frequency,Min,Max,Fit,sub Dist,Density^2,Fit^2,Normed Fit,Normed Fit^2,Variables,NORM =/=1,Assumed Norm =1,Percent Diff,,,,,Remove Outliers,Bin,Density,Frequency,Min,Max,Fit,sum Dist,Variables,NORM =/=1,Assumed Norm =1,Percent Diff same data,Percent Diff Norm=/=1,Percent Diff Norm=1
-23.03478341,0,0,-23.05032108,-23.01924574,0.000838334,7.03E-07,0,7.03E-07,0.00074487,5.55E-07,,,,,,,,,,-13.40142818,0,0,-13.41696585,-13.38589051,0.002431016,5.91E-06,,,,,,
-23.00370807,0,0,-23.01924574,-22.9881704,0.000840572,7.07E-07,0,7.07E-07,0.000746859,5.58E-07,,,,,,,,,,-13.37035284,0,0,-13.38589051,-13.35481517,0.002442038,5.96E-06,,,,,,
-22.97263273,0,0,-22.9881704,-22.95709506,0.000842818,7.10E-07,0,7.10E-07,0.000748856,5.61E-07,,,,,,,,,,-13.3392775,0,0,-13.35481517,-13.32373983,0.002453134,6.02E-06,,,,,,
-22.94155739,0,0,-22.95709506,-22.92601972,0.000845074,7.14E-07,0,7.14E-07,0.000750861,5.64E-07,,,,,,,,,,-13.30820216,0,0,-13.32373983,-13.29266449,0.002464305,6.07E-06,,,,,,
-22.91048205,0,0,-22.92601972,-22.89494439,0.000847338,7.18E-07,0,7.18E-07,0.000752874,5.67E-07,,,,,,,,,,-13.27712682,0,0,-13.29266449,-13.26158915,0.002475553,6.13E-06,,,,,,
-22.87940672,0,0,-22.89494439,-22.86386905,0.000849612,7.22E-07,0,7.22E-07,0.000754895,5.70E-07,,,,,,,,,,-13.24605148,0,0,-13.26158915,-13.23051381,0.002486878,6.18E-06,,,,,,
-22.84833138,0,0,-22.86386905,-22.83279371,0.000851895,7.26E-07,0,7.26E-07,0.000756925,5.73E-07,,,,,,,,,,-13.21497614,0,0,-13.23051381,-13.19943848,0.00249828,6.24E-06,,,,,,
-22.81725604,0,0,-22.83279371,-22.80171837,0.000854187,7.30E-07,0,7.30E-07,0.000758962,5.76E-07,,,,,,,,,,-13.18390081,0,0,-13.19943848,-13.16836314,0.002509761,6.30E-06,,,,,,
-22.7861807,0,0,-22.80171837,-22.77064303,0.000856488,7.34E-07,0,7.34E-07,0.000761008,5.79E-07,,,,,,,,,,-13.15282547,0,0,-13.16836314,-13.1372878,0.002521321,6.36E-06,,,,,,
-22.75510536,0,0,-22.77064303,-22.73956769,0.000858798,7.38E-07,0,7.38E-07,0.000763062,5.82E-07,,,,,,,,,,-13.12175013,0,0,-13.1372878,-13.10621246,0.002532961,6.42E-06,,,,,,
-22.72403002,0,0,-22.73956769,-22.70849235,0.000861118,7.42E-07,0,7.42E-07,0.000765124,5.85E-07,,,,,,,,,,-13.09067479,0,0,-13.10621246,-13.07513712,0.002544681,6.48E-06,,,,,,
-22.69295468,0,0,-22.70849235,-22.67741701,0.000863447,7.46E-07,0,7.46E-07,0.000767195,5.89E-07,,,,,,,,,,-13.05959945,0,0,-13.07513712,-13.04406178,0.002556482,6.54E-06,,,,,,
-22.66187934,0,0,-22.67741701,-22.64634167,0.000865786,7.50E-07,0,7.50E-07,0.000769274,5.92E-07,,,,,,,,,,-13.02852411,0,0,-13.04406178,-13.01298644,0.002568365,6.60E-06,,,,,,
